Time_s,Pos_X_m,Pos_Y_m,Altitude_m,Velocity_kmh,Acceleration_m_s2,Fuel_kg,Phase
0.000,0.000,6371000.002,0.000,0.000,0.000000,499.167,0
0.100,0.000,6371000.006,0.002,0.067,0.185308,498.333,0
0.200,0.000,6371000.011,0.006,0.135,0.190872,497.500,0
0.300,0.000,6371000.019,0.011,0.206,0.196441,496.667,0
0.400,0.000,6371000.029,0.019,0.279,0.202014,495.833,0
0.500,0.000,6371000.041,0.029,0.354,0.207592,495.000,0
0.600,0.000,6371000.055,0.041,0.430,0.213173,494.167,0
0.700,0.000,6371000.071,0.055,0.509,0.218759,493.333,0
0.800,0.000,6371000.090,0.071,0.590,0.224348,492.500,0
0.900,0.000,6371000.111,0.090,0.673,0.229942,491.667,0
1.000,0.000,6371000.135,0.111,0.757,0.235539,490.833,0
1.100,0.000,6371000.160,0.135,0.844,0.241139,490.000,0
1.200,0.000,6371000.189,0.160,0.933,0.246743,489.167,0
1.300,0.000,6371000.220,0.189,1.024,0.252349,488.333,0
1.400,0.000,6371000.254,0.220,1.117,0.257959,487.500,0
1.500,0.000,6371000.290,0.254,1.212,0.263571,486.667,0
1.600,0.000,6371000.329,0.290,1.309,0.269186,485.833,0
1.700,0.000,6371000.371,0.329,1.408,0.274803,485.000,0
1.800,0.000,6371000.416,0.371,1.508,0.280422,484.167,0
1.900,0.000,6371000.463,0.416,1.611,0.286043,483.333,0
2.000,0.000,6371000.514,0.463,1.716,0.291666,482.500,0
2.100,0.000,6371000.568,0.514,1.823,0.297290,481.667,0
2.200,0.000,6371000.624,0.568,1.933,0.302916,480.833,0
2.300,0.000,6371000.684,0.624,2.044,0.308542,480.000,0
2.400,0.000,6371000.748,0.684,2.157,0.314170,479.167,0
2.500,0.000,6371000.814,0.748,2.272,0.319798,478.333,0
2.600,0.000,6371000.884,0.814,2.389,0.325426,477.500,0
2.700,0.000,6371000.957,0.884,2.508,0.331055,476.667,0
2.800,0.000,6371001.033,0.957,2.629,0.336684,475.833,0
2.900,0.000,6371001.113,1.033,2.753,0.342312,475.000,0
3.000,0.000,6371001.196,1.113,2.878,0.347940,474.167,0
3.100,0.000,6371001.284,1.196,3.005,0.353566,473.333,0
3.200,0.000,6371001.374,1.284,3.134,0.359192,472.500,0
3.300,0.000,6371001.469,1.374,3.266,0.364816,471.667,0
3.400,0.000,6371001.567,1.469,3.399,0.370439,470.833,0
3.500,0.000,6371001.669,1.567,3.535,0.376059,470.000,0
3.600,0.000,6371001.775,1.669,3.672,0.381678,469.167,0
3.700,0.000,6371001.885,1.775,3.811,0.387293,468.333,0
3.800,0.000,6371001.998,1.885,3.953,0.392906,467.500,0
3.900,0.000,6371002.116,1.998,4.096,0.398516,466.667,0
4.000,0.000,6371002.238,2.116,4.242,0.404123,465.833,0
4.100,0.000,6371002.364,2.238,4.389,0.409726,465.000,0
4.200,0.000,6371002.494,2.364,4.539,0.415325,464.167,0
4.300,0.000,6371002.629,2.494,4.690,0.420919,463.333,0
4.400,0.000,6371002.768,2.629,4.844,0.426509,462.500,0
4.500,0.000,6371002.911,2.768,4.999,0.432094,461.667,0
4.600,0.000,6371003.059,2.911,5.157,0.437673,460.833,0
4.700,0.000,6371003.211,3.059,5.317,0.443247,460.000,0
4.800,0.000,6371003.368,3.211,5.478,0.448815,459.167,0
4.900,0.000,6371003.529,3.368,5.642,0.454377,458.333,0
5.000,0.000,6371003.695,3.529,5.807,0.459932,457.500,0
5.100,0.000,6371003.866,3.695,5.975,0.465480,456.667,0
5.200,0.000,6371004.041,3.866,6.144,0.471021,455.833,0
5.300,0.000,6371004.221,4.041,6.316,0.476554,455.000,0
5.400,0.000,6371004.406,4.221,6.489,0.482079,454.167,0
5.500,0.000,6371004.597,4.406,6.665,0.487596,453.333,0
5.600,0.000,6371004.792,4.597,6.843,0.493103,452.500,0
5.700,0.000,6371004.992,4.792,7.022,0.498602,451.667,0
5.800,0.000,6371005.197,4.992,7.204,0.504091,450.833,0
5.900,0.000,6371005.407,5.197,7.387,0.509570,450.000,0
6.000,0.000,6371005.623,5.407,7.572,0.515039,449.167,0
6.100,0.000,6371005.844,5.623,7.760,0.520498,448.333,0
6.200,0.000,6371006.070,5.844,7.949,0.525945,447.500,0
6.300,0.000,6371006.301,6.070,8.140,0.531380,446.667,0
6.400,0.000,6371006.538,6.301,8.334,0.536804,445.833,0
6.500,0.000,6371006.780,6.538,8.529,0.542216,445.000,0
6.600,0.000,6371007.028,6.780,8.726,0.547615,444.167,0
6.700,0.000,6371007.282,7.028,8.925,0.553001,443.333,0
6.800,0.000,6371007.541,7.282,9.126,0.558373,442.500,0
6.900,0.000,6371007.806,7.541,9.329,0.563731,441.667,0
